# Table C.3: Execution time per time step [ms] and memory requirements [MB] of the
# CPU code for nonlinear heterogeneous absorbing simulations for different 3D grid
# sizes ranging from 643 to 5123. System configuration is shown in Table C.1.

X Size; Y Size; Z Size; MATLAB; Laptop; Desktop; Server 1; Server 2; Server 3; Memory
;;; 24 cores; 2 cores; 4 cores; 12 cores; 16 cores; 24 cores; [MB]


64;64;64;25.76;19.7;6.2;3.08;1.95;1.56;40
96;64;64;34.39;33;9.9;4.88;2.94;2.4;56
128;64;64;43.44;52.4;13.5;6.58;3.89;3.15;69
96;96;64;48.45;19.7;16.1;7.19;4.73;3.44;76
96;96;96;68.14;34.8;26.6;12.5;7.72;6.21;104
128;128;64;78.71;40.4;30.3;16.92;8.47;6.91;120
128;96;96;84.46;88.9;35.7;17.02;10.01;6.61;148
128;128;96;119.9;113.5;48.6;22.99;14.2;10.04;174
128;128;128;148.5;97.3;68;34.72;18.7;17.17;230
160;128;128;178.5;164;81.1;41.35;24.02;15.01;281
160;160;128;214.1;228.7;107.6;50.53;33.11;18.9;348
160;160;160;281.6;327.9;136.6;59.87;42.61;31.96;430
256;128;128;308.9;1296;144.1;62.17;38.86;26.57;450
192;160;160;339.7;439.1;164;83.23;52.49;38.73;513
192;192;160;421.5;589.1;197.9;92.17;63.71;49.05;615
192;192;192;525.8;733.3;237.9;108;76.63;64.73;737
224;192;192;602;864.8;276.3;131;91.09;83.22;854
256;256;128;753;493.2;317.9;122.6;85.11;63.99;868
224;224;192;826;1022;323.9;163.6;105.8;87.04;992
224;224;224;975;1130;380.5;166.9;124.3;110.6;1157
256;224;224;1187;1524;456;193.4;142.9;115.2;1319
256;256;224;1357;1690;523.4;253.2;155.1;156.1;1506
256;256;256;1646;1023;631;274.7;174;224.5;1717
288;256;256;1748;1850;667.5;302.2;199.4;264.4;1931
288;288;256;1911;1913;730;350.2;239.8;232;2168
288;288;288;2166;2120;846.5;358.1;278.2;237.2;2436
320;288;288;2431;2538;940.9;409.6;302.4;278.7;2704
320;320;288;2710;;1042;438.2;332.1;300.9;3005
320;320;320;2980;;1166;514.1;362.7;368.2;3337
512;256;256;4697;;1297;536.9;364.2;435.8;3416
352;320;320;3225;;1245;573.5;394.6;431.1;3667
352;352;320;5212;;1383;649.8;452.4;437.9;4034
352;352;352;5814;;1542;690.7;500.2;494.8;4435
384;352;352;6720;;1775;725.6;539.8;632.1;4836
384;384;352;7246;;2045;971.3;586.3;607.7;5274
384;384;384;7738;;2191;1154;638.4;582.6;5750
416;384;384;8136;;2300;928.4;684.5;642.9;6229
416;416;384;8877;;2386;1011;748.4;704.9;6745
512;512;256;9526;;2844;1103;732.2;627.7;6811
416;416;416;9740;;2619;1097;818.5;805.2;7308
448;416;416;10392;;2859;1177;889.6;749.4;7868
448;448;416;11232;;3207;1304;952;790.4;8469
448;448;448;12383;;3457;1462;1016;839.1;9121
480;448;448;12969;;3558;1442;1072;1007;9771
480;480;448;13233;;3808;1591;1168;1071;10468
480;480;480;14403;;4098;1694;1279;1158;11214
512;480;480;16324;;4834;2164;1446;1483;11960
512;512;480;18293;;4985;2119;1404;1145;12754
512;512;512;19265;;5160;2326;1462;1207;13605
