# Table C.4: Execution time per time step [ms] and memory requirements [MB] of the
# GPU code for nonlinear heterogeneous absorbing simulations for different 3D grid
# sizes ranging from 643 to 4803. System configuraiton is shown in Table C.2.

X Size; Y Size; Z Size; MATLAB; GTX580; GTX680; K20m; GTX980; TITAN X; Memory

64;64;64;6.44;1.48;1.61;1.68;1.16;1.04;196
96;64;64;6.46;2.8;2.65;2.47;1.86;1.41;209
128;64;64;8.54;2.55;2.81;2.94;2.29;1.79;231
96;96;64;6.65;4.48;4.26;3.62;3;2.19;262
96;96;96;12.53;7.17;6.93;5.17;4.54;3.28;223
128;128;64;11.09;4.88;5.41;5.72;4.81;3.48;280
128;96;96;14.42;7.06;7.84;6.44;5.62;4.19;295
128;128;96;17.28;8.3;9.29;8.63;7.21;5.23;337
128;128;128;20.6;9.65;10.7;11.23;9.26;6.62;395
160;128;128;28.05;15.11;16.88;14.22;12;8.36;452
160;160;128;38.19;20.86;23.62;18.13;15.33;10.83;525
160;160;160;50.52;28.29;32.57;23.49;19.87;13.91;614
256;128;128;40;18.96;21.44;21.68;18.22;12.68;624
192;160;160;59.55;37.29;36.77;29.14;25.9;18.47;703
192;192;160;71.51;44.8;44.21;33.95;31.2;22.89;810
192;192;192;85.98;53.58;52.99;38.27;37.02;27.35;940
224;192;192;98.18;55.84;65.82;43.31;42.61;31.29;1068
256;256;128;78.06;37.93;43.1;43.05;35.97;25.03;1081
224;224;192;114.5;65.64;76.71;53.21;54.77;39.52;1218
224;224;224;133.3;75.77;89.87;65.48;69.91;49.47;1394
256;224;224;140.9;73.36;87.62;73.32;72.21;50.8;1568
256;256;224;147.6;;90.14;80.36;72.36;50.48;1768
256;256;256;154.3;;86.48;85.59;71.81;49.72;1996
288;256;256;199;;126.7;97.63;82.08;58.41;2225
288;288;256;234.1;;154.6;115;101.7;70.98;2483
288;288;288;282.6;;191.7;134.9;123.8;87.31;2772
320;288;288;313;;213.9;153.7;144.4;102.5;3061
320;320;288;347.4;;239.8;204.5;162.8;115.3;3382
320;320;320;385.8;;264.1;219.5;184;129.7;3740
512;256;256;382.7;;;169.3;142.3;98.71;3824
352;320;320;446.7;;315.3;203.6;199.2;140.8;4097
352;352;320;514.7;;;232;;155.5;4489
352;352;352;591.4;;;;;172.3;4922
384;352;352;620;;;;;190.3;5354
384;384;352;649.1;;;;;211.5;5826
384;384;384;698.9;;;;;230.8;6340
416;384;384;815.5;;;;;304.4;6854
416;416;384;929.7;;;;;374.2;7411
512;512;256;694.3;;;;;231.7;7483
416;416;416;1079;;;;;418.8;8015
448;416;416;1079;;;;;435.9;8619
448;448;416;1082;;;;;433.9;9269
448;448;448;1079;;;;;530.3;9969
480;448;448;;;;;;563;10669
480;480;448;;;;;;631.6;11419
480;480;480;;;;;;605.5;12223
